"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2450-490001112F","72859","Forest Hill Stn Devonshire Rd","51.439611","-0.053704","","","0","","Stop F","","1","",""
"2450-490001115A","72821","Gidea Park Station","51.581396","0.206099","","","0","2450-910GGIDEAPK","Stop PA","","1","",""
"2450-490001115B","54530","Gidea Park Station","51.581563","0.206338","","","0","2450-910GGIDEAPK","Stop PB","","1","",""
"2450-490001116N","77674","Gipsy Hill Station","51.425025","-0.083726","","","0","","Stop B","","1","",""
"2450-490001116S","53177","Gipsy Hill Station","51.423915","-0.08347","","","0","","Stop A","","1","",""
"2450-490001117E","47934","Goodmayes Station","51.566142","0.110415","","","0","2450-910GGODMAYS","Stop E","","1","",""
"2450-490001117F","76568","Goodmayes Station","51.564722","0.110378","","","0","2450-910GGODMAYS","Stop F","","1","",""
"2450-490001119E","56717","Gospel Oak Station","51.555079","-0.151156","","","0","","Stop GC","","1","",""
"2450-490001119W","72579","Gospel Oak Station","51.554781","-0.151672","","","0","","Stop GP","","1","",""
"2450-490001120E1","54436","Grange Park Station","51.642498","-0.097927","","","0","","Stop A","","1","",""
"2450-490001120W1","54247","Grange Park Station","51.642281","-0.097835","","","0","","Stop B","","1","",""
"2450-490001123L","72705","Greenwich Station","51.478263","-0.011448","","","0","","Stop L","","1","",""
"2450-490001123N","55851","Greenwich Station","51.477814","-0.013095","","","0","","Stop N","","1","",""
"2450-490001123P","53506","Greenwich Station","51.47753","-0.013841","","","0","","Stop P","","1","",""
"2450-490001123R","55579","Greenwich Station","51.477265","-0.012485","","","0","","Stop R","","1","",""
"2450-490001124B","56363","Grove Park Station","51.431049","0.021302","","","0","","Stop B","","1","",""
"2450-490001124E","71744","Grove Park Station","51.430402","0.021231","","","0","","Stop L","","1","",""
